"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SG119","SG86","SG85","SG132","SG75","SG54","SG73","SG47","SG34","SG126","SG68","SG112","SG133","SG52","SG123","SG115","SG122","SG33","SG120","SG111","SG142","SG96","SG113","SG30","SG51","SG83","SG125","SG35","SG84","SG49","SG116","SG136","SG70","SG31","SG121","SG74","SG134","SG56","SG76","SG55","SG48","SG53","SG106","SG104","SG32","SG124","SG29","SG110","SG105","SG72","SG94","SG95","SG135","SG71","SG114","SG69","SG141","SG36","SG67","SG28","SG50","SG103","up","down"
"1","PGEN_.00g029510",136.056191066846,-3.85261685241532,1.08722494839916,-3.5435324199357,0.000394804765998623,0.0285921767375845,102,419,305,135,256,107,91,95,58,114,116,131,55,115,122,7,370,219,66,75,280,175,169,21,29,91,401,217,69,88,395,125,98,190,201,114,119,311,147,43,197,147,162,171,104,94,56,65,274,338,81,77,91,75,200,83,71,503,47,104,188,31,FALSE,TRUE
"2","PGEN_.00g295020",805.680523309237,-17.5957516780302,3.62042026703771,-4.8601406411934,1.17302389916342e-06,0.000509709753236485,2,211,123,2,317,2082,451,20,54,16609,69,37,218,35,406,2285,20,95,6,12,29,61,830,2003,640,140,48,61,25,98,38,9,28,75,5,113,1,98,15,2801,16,4208,14,1,29,4212,1511,322,41,195,38,635,10,32,2841,405,277,337,38,29,619,2242,FALSE,TRUE
"3","PGEN_.00g139900",13.010093753292,-8.03668155907105,2.39924930449515,-3.34966505732181,0.000809093334547462,0.0446323820660572,6,12,13,9,76,3,8,2,8,132,15,10,0,67,11,1,17,16,8,9,3,2,18,9,4,1,21,6,13,17,8,9,11,6,28,2,1,17,8,1,7,2,23,9,11,9,2,6,3,9,10,5,7,1,2,2,0,175,5,14,1,3,FALSE,TRUE
"4","PGEN_.00g009930",117.575075689102,7.9561523999012,2.12316979941593,3.74729915717993,0.000178748856850815,0.0171598902576782,82,216,389,149,85,54,78,56,9,44,136,65,1134,31,15,12,1,82,51,83,19,25,43,84,12,49,18,92,155,325,81,15,45,92,36,35,202,27,32,106,247,160,55,73,70,429,262,130,78,60,61,1077,47,40,13,45,51,115,34,79,14,286,TRUE,FALSE
"5","PGEN_.00g064390",13.1175967374167,6.98347901287814,1.88561854847698,3.70354811078769,0.000212604838105472,0.0185104227221143,18,34,54,29,13,5,2,15,8,0,32,9,1,3,1,0,1,8,2,15,12,12,14,2,2,10,4,20,54,103,8,7,7,14,11,8,43,9,6,6,70,4,16,13,7,0,7,2,33,13,18,40,14,10,6,10,2,9,4,10,7,2,TRUE,FALSE
"6","PGEN_.00g205860",36.9384395915466,5.60987911126253,1.59982467072365,3.50655869603824,0.00045394130717401,0.030941027707916,60,91,23,81,48,67,12,39,66,11,76,98,32,4,18,8,11,13,21,66,6,28,27,18,4,39,7,29,175,52,19,50,15,56,14,31,47,41,20,21,88,10,30,41,79,19,22,10,11,47,18,8,82,81,19,34,11,43,60,51,12,26,TRUE,FALSE
"7","PGEN_.00g116940",55.4012915503662,6.33796831993737,1.80844896411361,3.50464317528798,0.000457219643939651,0.030941027707916,46,161,51,357,40,82,113,66,39,6,105,49,120,14,20,24,13,43,38,37,5,21,23,49,4,14,5,62,155,185,44,22,5,36,22,14,124,11,26,80,89,79,88,32,68,112,86,34,3,31,26,151,70,57,22,39,17,21,47,51,16,78,TRUE,FALSE
"8","PGEN_.00g306170",115.025121855558,5.47052604462607,1.29392929471989,4.22784001177616,2.35945461671871e-05,0.00442719484446129,162,215,315,213,111,90,121,130,36,52,244,139,99,54,44,16,24,77,78,138,40,40,81,38,15,72,47,122,258,613,133,36,58,157,116,38,316,78,80,143,465,62,186,118,127,95,113,50,110,128,142,286,131,71,103,79,38,97,56,151,35,183,TRUE,FALSE
"9","PGEN_.00g270000",21.9250941805259,5.46958593942443,1.62857928129129,3.35850148792733,0.000783662993491316,0.0440130726140429,23,107,79,24,16,10,9,13,8,4,38,37,66,11,7,0,2,16,22,24,9,21,9,18,14,8,5,25,58,132,18,6,18,32,9,5,43,24,21,6,43,15,47,20,17,24,17,10,4,15,19,98,27,12,15,16,7,31,4,30,6,24,TRUE,FALSE
"10","PGEN_.00g316680",26.6706343000733,-7.0336334476628,1.8921070711842,-3.71735487636052,0.000201319561507538,0.0183718855933199,16,11,20,11,23,64,54,7,6,167,9,4,19,91,9,26,10,26,4,9,16,5,28,28,28,40,18,7,13,20,14,7,14,7,41,6,10,6,11,111,37,59,6,16,23,28,19,22,91,33,10,5,5,15,50,7,23,16,47,15,35,21,FALSE,TRUE
"11","PGEN_.00g076210",21.8964072262996,4.59701405996089,1.15508722506792,3.97979820068615,6.89737923651969e-05,0.00876073276564717,21,30,47,37,18,3,30,24,27,17,38,31,42,7,10,2,20,27,45,37,17,45,24,7,5,14,42,10,13,36,14,7,15,23,22,10,23,14,41,5,40,10,24,48,35,20,15,21,11,33,20,25,20,11,12,50,9,31,54,44,13,5,TRUE,FALSE
"12","PGEN_.00g156840",43.3747308598002,8.58234555414148,1.80282251094762,4.76050498705518,1.93109162284056e-06,0.000724686019916892,65,39,13,81,35,71,16,47,56,7,59,26,5,17,9,11,19,11,22,76,37,64,8,15,6,78,28,79,129,51,5,19,19,113,9,31,37,21,45,47,109,13,110,53,137,0,8,33,52,9,46,16,59,77,29,75,8,22,234,50,9,22,TRUE,FALSE
"13","PGEN_.00g145490",12.4671019052311,9.12921169928222,1.98113997268056,4.60805991760898,4.06443551075163e-06,0.00119842784202734,13,30,43,21,5,1,4,13,3,4,29,10,44,0,0,2,2,6,9,13,0,8,6,7,3,2,4,10,20,70,16,2,5,12,7,2,32,14,3,11,34,7,15,8,10,26,10,8,6,6,13,108,17,7,4,2,3,8,8,8,4,32,TRUE,FALSE
"14","PGEN_.00g074890",16.2245896163088,4.0040951366921,1.09904259605824,3.64325745976813,0.000269209320514417,0.0217901191192846,23,36,23,39,14,9,14,7,7,12,32,23,33,13,10,4,6,12,7,8,9,9,13,9,4,10,6,19,18,68,24,5,8,16,12,11,27,15,6,13,48,13,32,16,20,18,24,23,41,11,13,29,11,16,11,22,8,10,13,17,8,27,TRUE,FALSE
"15","PGEN_.00g199810",61.8393233412945,6.06128332767113,1.6871321562739,3.59265473373333,0.000327326167681239,0.0253786510461043,68,115,117,70,43,33,46,29,6,31,83,47,421,18,20,21,12,26,24,43,10,13,26,53,9,21,11,50,75,190,36,14,16,63,30,11,86,36,28,85,105,72,74,43,40,246,156,78,24,24,52,538,38,21,26,57,31,74,27,46,17,93,TRUE,FALSE
"16","PGEN_.00g130320",60.8510604088142,-11.9164377691203,3.37785238000193,-3.52781484462431,0.000419005133580483,0.0295023423549472,5,11,20,2,36,78,87,0,3,711,7,0,84,55,25,199,6,14,0,3,16,12,26,105,48,20,2,2,6,24,6,3,12,12,13,7,0,14,6,684,12,135,2,0,5,410,138,13,2,10,3,82,0,4,78,12,50,9,12,3,26,162,FALSE,TRUE
"17","PGEN_.00g318520",866.239500998022,-7.09325957941975,1.95174193627788,-3.63432247244076,0.000278712088902226,0.0223402621939493,370,1252,533,832,350,2796,1183,1372,617,2002,727,444,151,2705,1405,1755,875,496,329,452,373,327,515,90,1464,784,365,336,442,718,213,853,359,601,333,404,317,945,402,837,924,1227,113,319,589,6559,78,7,1658,1276,914,33,399,627,579,169,166,941,891,721,1847,17,FALSE,TRUE
"18","PGEN_.00g236660",158.877680134275,10.341433218832,2.58970697317785,3.99328314976963,6.51646743744366e-05,0.00840624299430232,106,138,242,120,40,29,28,60,7,62,108,69,1074,6,7,52,4,57,17,44,9,31,29,82,11,19,3,74,112,251,36,6,11,62,21,13,137,38,39,286,144,166,38,29,62,646,467,102,19,30,69,3361,47,19,8,54,45,41,22,33,12,641,TRUE,FALSE
"19","PGEN_.00g168590",50.654749491739,-12.2384321739232,2.15910405909389,-5.66829195766474,1.4422805372638e-08,1.70106687366428e-05,13,55,39,7,15,268,120,16,7,84,11,6,22,64,74,49,19,27,6,16,13,11,24,36,84,55,22,18,8,29,11,17,7,18,21,19,3,43,11,384,11,183,10,7,8,255,49,21,39,40,3,34,4,6,221,45,68,49,24,5,87,45,FALSE,TRUE
"20","PGEN_.00g108630",61.0503620866148,-22.9653929606851,6.51577137051625,-3.52458544886997,0.000424145992673554,0.0295023423549472,0,0,192,0,82,0,97,72,73,101,127,0,131,154,0,0,0,0,0,114,116,119,131,0,0,0,365,0,0,103,114,0,113,0,229,163,0,137,90,0,0,0,146,243,83,131,90,123,0,0,0,0,0,0,181,0,0,328,0,86,0,129,FALSE,TRUE
