"","Var1","Var2","DEGs","num.upreg","num.downreg","perc.upreg","perc.downreg"
"115","MSA","ASA",48,40,8,83.3333333333333,16.6666666666667
"116","MSA","ASM",71,61,10,85.9154929577465,14.0845070422535
"117","MSA","MAA",202,123,73,60.8910891089109,36.1386138613861
"118","MSA","MAM",2,1,1,50,50
"119","MSA","MMA",0,1,0,NA,NA
"120","MSA","MMM",2,2,0,100,0
"121","MSA","MSM",1,1,0,100,0
"122","MSM","AAA",1,0,1,0,100
"123","MSM","AAM",1,0,1,0,100
"124","MSM","AMA",3,0,3,0,100
"125","MSM","AMM",0,1,0,NA,NA
"126","MSM","ASA",1,1,0,100,0
"127","MSM","ASM",0,0,1,NA,NA
"128","MSM","MAA",37,7,22,18.9189189189189,59.4594594594595
"129","MSM","MAM",15,1,13,6.66666666666667,86.6666666666667
"130","MSM","MMA",0,1,0,NA,NA
"131","MSM","MMM",1,0,1,0,100
"132","MSM","MSA",1,0,1,0,100
